Date,Open,High,Low,Close*,Volume(MM),%Change,MACD,MACDsig,RS,RSI,Stochastic%K,Stochastic%D,Consecutive Move,Sum of % change during consecutive,Class
"Apr 04, 2014","1,890.25","1,897.28","1,863.26","1,865.09","3,583.75",-1.25%,8.57,8.33,1.09,52.19,41.65,75.90,2.00,-1.37%,1
"Apr 07, 2014","1,863.92","1,864.04","1,841.48","1,845.04","3,801.54",-1.08%,5.88,7.84,0.69,40.92,6.38,46.10,3.00,-2.44%,1
"Apr 08, 2014","1,845.48","1,854.95","1,837.49","1,851.96","3,721.45",0.38%,4.26,7.13,0.89,46.97,24.20,24.08,1.00,0.38%,4
"Apr 09, 2014","1,852.64","1,872.43","1,852.38","1,872.18","3,308.65",1.09%,4.56,6.61,1.00,50.06,58.02,29.53,2.00,1.47%,5
"Apr 10, 2014","1,872.28","1,872.53","1,830.87","1,833.08","3,758.78",-2.09%,1.62,5.61,0.70,41.10,3.33,28.52,1.00,-2.09%,1
"Apr 11, 2014","1,830.65","1,835.07","1,814.36","1,815.69","3,743.46",-0.95%,-2.09,4.07,0.65,39.36,1.60,20.98,2.00,-3.04%,2
"Apr 14, 2014","1,818.18","1,834.19","1,815.80","1,830.61","3,111.54",0.82%,-3.78,2.50,0.71,41.37,19.60,8.18,1.00,0.82%,4
"Apr 15, 2014","1,831.45","1,844.02","1,816.29","1,842.98","3,736.44",0.68%,-4.07,1.19,0.91,47.63,34.52,18.57,2.00,1.50%,4
"Apr 16, 2014","1,846.01","1,862.31","1,846.01","1,862.31","3,155.08",1.05%,-2.72,0.41,1.13,53.04,57.83,37.31,3.00,2.55%,5
"Apr 17, 2014","1,861.73","1,869.63","1,856.72","1,864.85","3,341.43",0.14%,-1.42,0.04,1.07,51.71,60.89,51.08,4.00,2.68%,3
"Apr 21, 2014","1,865.79","1,871.89","1,863.18","1,871.89","2,642.50",0.38%,0.17,0.07,1.00,49.89,69.38,62.70,5.00,3.06%,4
"Apr 22, 2014","1,872.57","1,884.89","1,872.57","1,879.55","3,215.44",0.41%,2.03,0.46,0.94,48.50,78.62,69.63,6.00,3.47%,4
"Apr 23, 2014","1,879.32","1,879.75","1,873.91","1,875.39","3,085.72",-0.22%,3.13,0.99,0.85,46.07,73.60,73.87,1.00,-0.22%,3
"Apr 24, 2014","1,881.97","1,884.06","1,870.24","1,878.61","3,191.83",0.17%,4.21,1.64,0.90,47.44,77.48,76.57,1.00,0.17%,3
"Apr 25, 2014","1,877.72","1,877.72","1,859.70","1,863.40","3,213.02",-0.81%,3.80,2.07,0.98,49.56,69.53,73.54,1.00,-0.81%,2
"Apr 28, 2014","1,865.00","1,877.01","1,850.61","1,869.43","4,034.68",0.32%,3.92,2.44,1.32,56.92,78.08,75.03,1.00,0.32%,4
"Apr 29, 2014","1,870.78","1,880.60","1,870.78","1,878.33","3,647.82",0.48%,4.67,2.89,1.35,57.40,90.70,79.44,2.00,0.80%,4
"Apr 30, 2014","1,877.10","1,885.20","1,872.69","1,883.95","3,779.23",0.30%,5.66,3.44,1.16,53.60,98.24,89.00,3.00,1.10%,3
"May 01, 2014","1,884.39","1,888.59","1,878.04","1,883.68","3,416.74",-0.01%,6.34,4.02,2.37,70.30,93.39,94.11,1.00,-0.01%,3
"May 02, 2014","1,885.30","1,891.33","1,878.50","1,881.14","3,159.56",-0.13%,6.61,4.54,3.95,79.80,86.51,92.71,2.00,-0.15%,3
"May 05, 2014","1,879.45","1,885.51","1,866.77","1,884.66","2,733.73",0.19%,7.02,5.04,3.44,77.46,91.11,90.34,1.00,0.19%,3
"May 06, 2014","1,883.69","1,883.69","1,867.72","1,867.72","3,327.26",-0.90%,5.91,5.21,1.63,62.01,47.90,75.17,1.00,-0.90%,2
"May 07, 2014","1,868.53","1,878.83","1,859.79","1,878.21","3,632.95",0.56%,5.81,5.33,1.41,58.44,67.78,68.93,1.00,0.56%,4
"May 08, 2014","1,877.39","1,889.07","1,870.05","1,875.63","3,393.42",-0.14%,5.46,5.36,1.26,55.72,61.44,59.04,1.00,-0.14%,3
"May 09, 2014","1,875.27","1,878.57","1,867.02","1,878.48","3,025.02",0.15%,5.35,5.36,1.16,53.66,68.44,65.89,1.00,0.15%,3
"May 12, 2014","1,880.03","1,897.13","1,880.03","1,896.65","3,005.74",0.97%,6.66,5.62,1.41,58.51,98.97,76.29,2.00,1.12%,4
"May 13, 2014","1,896.75","1,902.17","1,896.06","1,897.45","2,915.68",0.04%,7.67,6.03,1.59,61.35,90.85,86.09,3.00,1.16%,3
"May 14, 2014","1,897.13","1,897.13","1,885.77","1,888.53","2,822.06",-0.47%,7.66,6.35,1.21,54.82,73.55,87.79,1.00,-0.47%,2
"May 15, 2014","1,888.16","1,888.16","1,862.36","1,870.85","3,552.64",-0.94%,6.15,6.31,1.15,53.54,39.26,67.88,2.00,-1.41%,2
"May 16, 2014","1,871.19","1,878.28","1,864.82","1,877.86","3,173.65",0.37%,5.46,6.14,1.17,53.97,42.64,51.81,1.00,0.37%,4
"May 19, 2014","1,876.66","1,886.00","1,872.42","1,885.08","2,664.25",0.38%,5.44,6.00,1.14,53.23,59.67,47.19,2.00,0.76%,4
"May 20, 2014","1,884.88","1,884.88","1,868.14","1,872.83","3,007.70",-0.65%,4.38,5.68,0.82,45.00,30.77,44.36,1.00,-0.65%,2
"May 21, 2014","1,873.34","1,888.80","1,873.34","1,888.03","2,777.14",0.81%,4.71,5.48,1.07,51.72,66.64,52.36,1.00,0.81%,4
"May 22, 2014","1,888.19","1,896.33","1,885.39","1,892.49","2,759.80",0.24%,5.27,5.44,1.19,54.43,77.16,58.19,2.00,1.05%,3
"May 23, 2014","1,893.32","1,901.26","1,893.32","1,900.53","2,396.28",0.42%,6.29,5.61,1.27,55.98,96.13,79.97,3.00,1.47%,4
"May 27, 2014","1,902.01","1,912.28","1,902.01","1,911.91","2,911.02",0.60%,7.93,6.07,2.07,67.39,99.30,90.86,4.00,2.07%,4
"May 28, 2014","1,911.77","1,914.46","1,907.30","1,909.78","2,976.45",-0.11%,8.95,6.65,1.72,63.30,91.02,95.48,1.00,-0.11%,3
"May 29, 2014","1,910.60","1,920.03","1,909.82","1,920.03","2,709.05",0.54%,10.47,7.41,2.08,67.57,100.00,96.77,1.00,0.54%,4
"May 30, 2014","1,920.33","1,924.03","1,916.64","1,923.57","3,263.49",0.18%,11.82,8.30,2.10,67.74,99.25,96.76,2.00,0.72%,3
"Jun 02, 2014","1,923.87","1,925.88","1,915.98","1,924.97","2,509.02",0.07%,12.86,9.21,1.69,62.84,98.57,99.27,3.00,0.79%,3
"Jun 03, 2014","1,923.07","1,925.07","1,918.79","1,924.24","2,867.18",-0.04%,13.46,10.06,1.64,62.15,97.42,98.41,1.00,-0.04%,3
"Jun 04, 2014","1,923.06","1,928.63","1,918.60","1,927.88","2,793.92",0.19%,14.07,10.86,2.20,68.75,98.87,98.28,1.00,0.19%,3
"Jun 05, 2014","1,928.52","1,941.74","1,922.93","1,940.46","3,113.27",0.65%,15.40,11.77,5.61,84.86,98.34,98.21,2.00,0.84%,4
"Jun 06, 2014","1,942.41","1,949.44","1,942.41","1,949.44","2,864.30",0.46%,16.97,12.81,5.74,85.16,100.00,99.07,3.00,1.30%,4
"Jun 09, 2014","1,948.97","1,955.55","1,947.16","1,951.27","2,812.18",0.09%,18.16,13.88,5.38,84.33,95.10,97.81,4.00,1.40%,3
"Jun 10, 2014","1,950.34","1,950.86","1,944.64","1,950.79","2,702.36",-0.02%,18.85,14.87,24.34,96.05,94.21,96.44,1.00,-0.02%,3
"Jun 11, 2014","1,949.37","1,949.37","1,940.08","1,943.89","2,710.62",-0.35%,18.62,15.62,6.46,86.59,83.38,90.90,2.00,-0.38%,2
